Date,Place,Nation,Category,Discipline,Position,Fis
23-03-2017,Monte Pora - Castione della presolana,IT,National Championships,Parallel Slalom,10,75.4
22-03-2017,Monte Pora - Castione della presolana,IT,National Championships,Parallel GS,DSQ2,null
22-03-2017,Monte Pora - Castione della presolana,IT,National Championships,Parallel GS,37,5.63
18-03-2017,Winterberg,DE,World Cup,Parallel Slalom,19,120
18-03-2017,Winterberg,DE,Qualification,Parallel Slalom,19,null
16-03-2017,Sierra Nevada,ES,World Snowboard Championships,Parallel GS,16,150
15-03-2017,Sierra Nevada,ES,World Snowboard Championships,Parallel Slalom,20,110
05-03-2017,Erciyes-Kayseri,TR,World Cup,Parallel GS,6,400
15-02-2017,Toronto Ski Club,CA,Nor-Am Cup,Parallel GS,1,220
14-02-2017,Toronto Ski Club,CA,Nor-Am Cup,Parallel GS,3,132
12-02-2017,Phoenix Pyeongchang,KOR,World Cup,Parallel GS,34,22
05-02-2017,Bansko,BG,World Cup,Parallel GS,8,320
03-02-2017,Bansko,BG,World Cup,Parallel GS,21,100
28-01-2017,Rogla,SI,World Cup,Parallel GS,23,80
15-01-2017,Steamboat Springs CO,US,Nor-Am Cup,Parallel Slalom,5,81
14-01-2017,Steamboat Springs CO,US,Nor-Am Cup,Parallel GS,1,180
10-01-2017,Bad Gastein,AT,World Cup,Parallel Slalom,37,19.4
08-01-2017,Gerlitzen,AT,Europa Cup,Parallel GS,7,86.4
05-01-2017,Le Relais,CA,Nor-Am Cup,Parallel Slalom,4,120
04-01-2017,Le Relais,CA,Nor-Am Cup,Parallel Slalom,1,240
